50,50,50,50,50
45,50,55,50,50
40,50,60,50,50
36,49,65,50,50
36,44,70,50,50
36,39,75,50,50
36,34,80,50,50
36,29,85,50,50
36,24,90,50,50
36,19,95,50,50
36,14,100,50,50
36,9,105,50,50
36,4,110,50,50
35,0,115,50,50
35,0,120,45,50
35,0,125,40,50
35,0,130,35,50
34,0,135,31,50
34,0,140,26,50
34,0,145,21,50
34,0,150,16,50
34,0,155,11,50
34,0,160,6,50
34,0,165,1,50
30,0,170,0,50
25,0,175,0,50
20,0,180,0,50
15,0,185,0,50
10,0,190,0,50
5,0,195,0,50
4,0,200,0,46
4,0,205,0,41
4,0,210,0,36
4,0,215,0,31
4,0,220,0,26
4,0,225,0,21
9,0,225,0,16
14,0,225,0,11
19,0,223,0,8
24,0,220,0,6
29,0,215,0,6
34,0,210,0,6
39,0,205,0,6
44,0,200,0,6
49,0,195,0,6
54,0,190,0,6
59,0,185,0,6
64,0,180,0,6
69,0,175,0,6
74,0,170,0,6
