50,50,50,50,50
45,50,55,50,50
40,50,60,50,50
35,50,65,50,50
30,50,70,50,50
25,50,75,50,50
21,49,80,50,50
21,44,85,50,50
21,39,90,50,50
21,34,95,50,50
21,29,100,50,50
21,24,105,50,50
21,19,110,50,50
21,14,115,50,50
21,9,120,50,50
21,4,125,50,50
21,0,130,49,50
21,0,135,44,50
21,0,140,39,50
21,0,145,34,50
21,0,150,29,50
21,0,155,24,50
21,0,160,19,50
21,0,165,14,50
21,0,170,9,50
26,0,170,4,50
26,0,169,0,55
26,0,170,0,54
25,0,171,0,54
25,0,166,0,59
21,0,170,0,59
20,0,171,0,59
20,0,172,0,58
19,0,168,0,63
15,0,172,0,63
15,0,168,0,67
11,0,172,0,67
8,0,175,0,67
7,0,179,0,64
6,0,180,0,64
5,0,182,0,63
5,0,186,0,59
5,0,187,0,58
4,0,191,0,55
4,0,192,0,54
4,0,193,0,53
4,0,197,0,49
4,0,198,0,48
4,0,198,0,48
4,0,202,0,44
