50,50,50,50,50
45,50,55,50,50
40,50,60,50,50
35,50,65,50,50
30,50,70,50,50
26,49,75,50,50
26,44,80,50,50
26,39,85,50,50
26,34,90,50,50
26,29,95,50,50
26,24,100,50,50
26,19,105,50,50
26,14,110,50,50
26,9,115,50,50
26,4,120,50,50
26,0,125,49,50
26,0,130,45,49
26,0,135,40,49
26,0,140,36,48
26,0,145,31,48
26,0,150,26,48
26,0,155,21,48
26,0,160,16,48
26,0,165,11,48
26,0,170,6,48
26,0,175,1,48
26,0,176,0,48
26,0,172,0,52
26,0,168,0,56
25,0,169,0,56
23,0,171,0,56
22,0,172,0,56
22,0,167,0,61
20,0,164,0,66
15,0,169,0,66
11,0,173,0,66
8,0,176,0,66
8,0,178,0,64
7,0,183,0,60
5,0,187,0,58
4,0,188,0,58
4,0,190,0,56
4,0,191,0,55
4,0,193,0,53
4,0,195,0,51
9,0,193,0,48
9,0,194,0,47
9,0,196,0,45
9,0,196,0,45
9,0,197,0,44
