50.0,50.0,50.0,50.0,50.0
50.19,50.31,49.9,50.01,49.59
50.15,50.59,49.8,50.02,49.44
50.2,50.93,49.69,49.8,49.38
50.35,50.62,49.69,49.97,49.37
50.3,50.4,49.78,50.01,49.51
50.1,50.4,49.93,50.15,49.42
50.05,50.2,50.18,49.8,49.77
49.83,50.29,50.43,49.93,49.52
49.67,50.25,50.59,49.86,49.63
49.81,50.41,50.94,49.63,49.21
49.57,50.04,51.08,50.03,49.28
49.8,49.84,51.4,50.13,48.83
49.35,50.09,51.54,49.78,49.24
49.76,50.04,51.11,49.68,49.41
49.37,50.47,51.5,49.4,49.26
49.16,50.46,51.39,49.73,49.26
49.31,50.1,51.42,49.88,49.29
49.22,50.24,51.42,49.8,49.32
49.21,50.16,51.72,49.88,49.03
49.27,50.17,51.95,49.78,48.83
49.51,49.84,51.76,50.13,48.76
49.41,49.64,51.86,50.19,48.9
49.69,50.2,51.57,50.0,48.54
49.79,50.17,51.38,50.26,48.4
49.74,50.17,51.14,50.5,48.45
49.67,50.11,50.93,50.77,48.52
49.3,50.09,50.99,51.01,48.61
49.13,50.01,51.0,51.29,48.57
49.3,50.1,51.44,51.04,48.12
49.13,50.04,51.21,51.12,48.5
49.12,49.95,51.42,51.16,48.35
49.28,49.94,51.62,51.06,48.1
49.09,50.32,51.69,50.97,47.93
48.77,50.26,52.08,50.35,48.54
49.05,50.1,51.91,50.69,48.25
49.41,49.76,52.16,50.73,47.94
49.69,49.39,52.13,50.79,48.0
49.61,49.48,51.74,50.76,48.41
49.52,49.41,51.85,50.99,48.23
49.71,49.35,52.07,50.93,47.94
49.72,49.88,51.76,50.98,47.66
49.82,50.2,51.66,50.79,47.53
49.8,50.25,51.37,50.66,47.92
49.95,50.16,51.43,50.24,48.22
49.68,49.94,51.84,50.25,48.29
49.76,50.06,51.69,49.99,48.5
50.09,49.99,51.55,49.99,48.38
49.86,49.9,51.61,50.0,48.63
50.12,49.67,51.6,49.81,48.8
